                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.1999,                 1.5531,                 1.6198,                0.40068,                0.87774,                0.53046,                 0.3706,                 1.0489,                 1.2166,                  1.595,             0.00086352,             0.00086352,             0.00086352
                     47,                 1.1926,                 1.5394,                 1.5998,                0.27981,                0.70622,                 0.3679,                0.25094,                   1.05,                 2.0111,                 1.6499,             0.00085803,             0.00085803,             0.00085803
                     48,                 1.1728,                  1.516,                 1.5738,                   0.45,                0.82437,                0.56554,                 0.3777,                 1.1613,                 1.2605,                 1.7331,             0.00085253,             0.00085253,             0.00085253
                     49,                  1.142,                 1.4889,                 1.5717,                0.35416,                0.79698,                0.50039,                0.35751,                 1.1085,                 1.3733,                 1.6249,             0.00084703,             0.00084703,             0.00084703
                     50,                 1.1539,                 1.4765,                 1.5709,                0.29775,                0.82328,                 0.4576,                0.29799,                 1.3102,                 1.6651,                 1.8685,             0.00084153,             0.00084153,             0.00084153
                     51,                 1.1686,                 1.4795,                 1.5767,                 0.3705,                  0.926,                0.60734,                0.44805,                 1.0488,                 1.2133,                 1.5968,             0.00083603,             0.00083603,             0.00083603
                     52,                 1.1222,                 1.4835,                 1.5508,                0.35804,                0.81718,                0.48533,                0.34917,                 1.0422,                 1.2526,                 1.5637,             0.00083053,             0.00083053,             0.00083053
                     53,                  1.158,                 1.4769,                  1.553,                0.37561,                0.88227,                0.54668,                0.39878,                 1.0584,                 1.2368,                 1.5771,             0.00082503,             0.00082503,             0.00082503
                     54,                  1.165,                 1.4794,                 1.5735,                0.43748,                0.82562,                0.56639,                0.39809,                 1.1195,                 1.2127,                 1.6232,             0.00081953,             0.00081953,             0.00081953
                     55,                 1.1711,                 1.4728,                 1.5656,                0.38283,                0.77028,                0.49178,                0.34441,                 1.0499,                  1.394,                 1.5879,             0.00081403,             0.00081403,             0.00081403
                     56,                 1.1313,                 1.4626,                 1.5478,                0.26215,                0.73773,                0.45321,                0.33043,                  1.068,                  1.444,                 1.6104,             0.00080853,             0.00080853,             0.00080853
                     57,                 1.0955,                 1.4361,                 1.5257,                0.42903,                0.91724,                0.64031,                0.45763,                  1.144,                 1.1588,                 1.6755,             0.00080303,             0.00080303,             0.00080303
                     58,                 1.1193,                 1.4552,                 1.5272,                 0.3538,                0.85517,                0.47814,                 0.3161,                 1.2149,                 1.3133,                 1.7628,             0.00079753,             0.00079753,             0.00079753
                     59,                 1.1352,                 1.4504,                  1.569,                0.56249,                 0.6958,                0.56155,                0.40517,                 1.0099,                 1.2807,                  1.555,             0.00079203,             0.00079203,             0.00079203
                     60,                 1.1441,                 1.4482,                 1.5519,                0.32872,                0.78492,                0.46563,                0.32101,                 1.0394,                  1.411,                 1.5729,             0.00078653,             0.00078653,             0.00078653
                     61,                 1.1363,                 1.4247,                 1.5421,                0.34723,                0.85142,                0.49816,                0.37112,                0.99305,                  1.405,                 1.5584,             0.00078103,             0.00078103,             0.00078103
                     62,                 1.0848,                 1.4639,                 1.5087,                0.45457,                0.85559,                0.56064,                0.39146,                 1.1477,                 1.2325,                 1.6526,             0.00077553,             0.00077553,             0.00077553
                     63,                 1.0918,                 1.3875,                 1.4991,                0.33678,                0.84982,                0.52306,                0.38276,                  1.022,                  1.447,                 1.5624,             0.00077003,             0.00077003,             0.00077003
                     64,                 1.1002,                 1.4336,                 1.5195,                0.29516,                0.82356,                0.49181,                0.36352,                0.99585,                 1.6171,                 1.5456,             0.00076453,             0.00076453,             0.00076453
                     65,                 1.0708,                 1.4037,                 1.4846,                0.44275,                0.82463,                0.60828,                0.43346,                 1.1335,                 1.2081,                 1.7186,             0.00075904,             0.00075904,             0.00075904
                     66,                  1.109,                 1.4295,                 1.5198,                0.31965,                0.84684,                0.47459,                0.32279,                 1.1732,                 1.6146,                 1.7587,             0.00075354,             0.00075354,             0.00075354
                     67,                 1.0778,                 1.3856,                 1.5023,                0.31924,                0.83305,                0.48482,                0.35416,                 1.0381,                 1.6049,                 1.5921,             0.00074804,             0.00074804,             0.00074804
                     68,                 1.1187,                  1.439,                 1.5224,                0.40708,                0.79569,                0.54441,                0.37114,                 1.1904,                  1.311,                 1.7397,             0.00074254,             0.00074254,             0.00074254
                     69,                 1.0957,                 1.3703,                 1.4993,                0.45145,                0.83015,                0.60063,                0.43934,                 1.0543,                 1.1708,                 1.6014,             0.00073704,             0.00073704,             0.00073704
                     70,                 1.1078,                 1.3841,                 1.5006,                0.34854,                0.83008,                0.50024,                0.35152,                 1.0286,                 1.2112,                 1.5691,             0.00073154,             0.00073154,             0.00073154
                     71,                 1.0862,                  1.423,                  1.496,                0.51634,                 0.8105,                0.62382,                 0.4453,                 1.0261,                 1.1678,                 1.5363,             0.00072604,             0.00072604,             0.00072604
                     72,                 1.0559,                 1.3848,                  1.477,                0.35712,                0.86207,                0.51054,                0.35236,                 1.0819,                  1.422,                 1.6573,             0.00072054,             0.00072054,             0.00072054
                     73,                 1.0696,                 1.3956,                  1.497,                0.36534,                0.70121,                0.50973,                0.34259,                 1.1428,                 1.4917,                 1.6875,             0.00071504,             0.00071504,             0.00071504
                     74,                 1.0839,                 1.3994,                 1.4986,                0.32504,                0.80129,                0.50016,                0.36544,                 1.0569,                 1.4614,                 1.5795,             0.00070954,             0.00070954,             0.00070954
                     75,                 1.0519,                 1.3477,                 1.4651,                0.46711,                0.80283,                0.64357,                0.48218,                 1.0284,                 1.1645,                 1.5412,             0.00070404,             0.00070404,             0.00070404
                     76,                 1.0352,                 1.3984,                 1.4508,                0.35958,                0.84338,                0.50154,                0.35812,                 1.0494,                 1.4458,                 1.5814,             0.00069854,             0.00069854,             0.00069854
                     77,                 1.0518,                 1.3693,                 1.4637,                0.33334,                0.81079,                0.49284,                0.36343,                 1.0054,                 1.6877,                  1.578,             0.00069304,             0.00069304,             0.00069304
